set_num,name,theme,subtheme,year,pieces_count,minifigs_count,minifigs,availability,retail_price_us,retail_price_uk,retail_price_ca,retail_price_eu,retail_price_au,ean,upc,released_date,retired_date,retired,current_value_new,current_value_used,current_value_used_low,current_value_used_high,forecast_value_new_2_years,forecast_value_new_5_years,rolling_growth_lastyear,rolling_growth_12months,currency,event_condition,event_date,event_value
6252812-1,Luke Skywalker,Star Wars,,2018,20,,,promotional,,,,,,,,6/1/2018,,TRUE,67.79,56.26,55.19,62.62,82.09,98.47,0.69,0.28,EUR,new,1/8/2024,72.06
30654-1,X-wing Starfighter,Star Wars,Episode VI,2023,87,,,retaillimited,4.99,3.99,5.99,3.99,5.99,,6.73419E+11,1/1/2023,6/1/2023,TRUE,9.92,2.64,2.47,3.72,11.91,14.19,3.4,3.34,EUR,used,1/25/2024,3.52
40483-1,Luke Skywalker's Lightsaber,Star Wars,Promotional,2021,173,,,promotional,,,,,,,6.73419E+11,11/26/2021,11/29/2021,TRUE,142.08,80.49,78.88,96.59,164.93,191.11,4.86,1.64,EUR,used,1/25/2024,115.47
5006290-1,Yoda's Lightsaber,Star Wars,Promotional,2020,140,,,promotional,,,,,,,,9/16/2020,9/30/2020,TRUE,209.48,112.2,108.55,134.64,225.28,266.64,2.93,2.66,EUR,used,1/25/2024,74.76
75283-1,Armored Assault Tank (AAT),Star Wars,The Clone Wars,2020,286,4,"sw0996,sw1096,sw1097",retail,39.99,34.99,49.99,39.99,59.99,5.70202E+12,6.73419E+11,8/1/2020,12/1/2022,TRUE,43.99,33.44,29.6,41.12,50.92,61.14,2.59,2.49,EUR,used,1/25/2024,37.84
75286-1,General Grievous's Starfighter,Star Wars,Episode III,2020,487,3,"sw0515,sw1082,sw1100",retail,79.99,74.99,109.99,84.99,109.99,5.70202E+12,6.73419E+11,8/1/2020,3/23/2022,TRUE,176,108.24,96.8,129.89,199.54,249.78,4.15,3.56,EUR,used,1/25/2024,43.08
75294-1,Bespin Duel,Star Wars,Episode V,2020,295,2,"sw0971,sw1112",retaillimited,39.99,34.99,49.99,39.99,59.99,,6.73419E+11,8/27/2020,8/27/2020,TRUE,133.25,110,105.85,132,151.17,189.42,0.22,0.39,EUR,used,1/25/2024,110.06
75310-1,Duel on Mandalore,Star Wars,The Clone Wars,2021,147,2,"sw1096,sw1155",retail,19.99,17.99,24.99,19.99,32.99,5.70202E+12,6.73419E+11,8/1/2021,12/1/2022,TRUE,23.26,17.6,15.31,22,27.87,34.69,1.85,-0.26,EUR,used,1/25/2024,16.46
75311-1,Imperial Armoured Marauder,Star Wars,The Mandalorian,2021,478,4,"sw1156,sw1157,sw1167,sw1168",retail,39.99,34.99,49.99,39.99,59.99,5.70202E+12,6.73419E+11,8/1/2021,12/1/2022,TRUE,40.2,28.16,26.4,33.79,45.75,53.95,1.01,1.03,EUR,used,1/25/2024,35.2
75314-1,The Bad Batch Attack Shuttle,Star Wars,The Bad Batch,2021,969,6,"sw1148,sw1149,sw1150,sw1151,sw1152,sw1153",retail,99.99,89.99,139.99,99.99,149.99,5.70202E+12,6.73419E+11,8/1/2021,12/26/2022,TRUE,175.99,132,121.22,158.4,199.32,249.12,3.02,1.84,EUR,used,1/25/2024,79.46
75327-1,Luke Skywalker Red Five Helmet,Star Wars,Helmet Collection,2022,675,,,retail,69.99,59.99,89.99,69.99,99.99,5.70202E+12,6.73419E+11,3/1/2022,11/15/2023,TRUE,70.38,43.99,39.6,52.79,80.12,94.49,2.31,2.51,EUR,used,1/25/2024,40.63
75339-1,Death Star Trash Compactor Diorama,Star Wars,Diorama Collection,2022,802,6,"sw0532,sw0994,sw1201,sw1202,sw1203,sw1204",retail,89.99,79.99,119.99,89.99,149.99,5.70202E+12,6.73419E+11,4/26/2022,11/27/2023,TRUE,81.79,65.99,64.67,79.19,89.41,100.65,3.85,0.71,EUR,used,1/25/2024,61.01
912062-1,Stormtrooper,Star Wars,Magazine Gifts,2020,5,1,sw0997b,promotional,,,,,,,,9/1/2020,10/1/2020,TRUE,7.27,5.49,4.96,6.59,8.05,9.2,3.02,3.23,EUR,used,1/25/2024,5.49
912066-1,Jedi Interceptor,Star Wars,Magazine Gifts,2020,33,,,promotional,,,,,,,,,,TRUE,4.08,3.08,2.38,3.7,4.58,5.33,2.7,1.58,EUR,used,1/25/2024,2.46
912170-1,V-wing,Star Wars,Magazine Gifts,2021,45,,,promotional,,,,,,,,,,TRUE,3.77,2.38,2.33,2.85,4.23,4.92,-0.85,1.76,EUR,used,1/25/2024,2.46
912171-1,TIE Bomber,Star Wars,Magazine Gifts,2021,28,,,promotional,,,,,,,,,,TRUE,3.07,1.96,1.93,2.36,3.7,4.55,-1.41,4.52,EUR,used,1/25/2024,1.98
912280-1,Millennium Falcon,Star Wars,Magazine Gifts,2021,41,,,promotional,,,,,,,,,,TRUE,3.87,2.77,2.7,6.39,4.44,5.3,0.67,2.46,EUR,used,1/25/2024,3.74
20006-1,Clone Turbo Tank,Star Wars,The Clone Wars,2008,64,,,promotional,,,,,,,6.73419E+11,11/1/2008,,TRUE,167.19,12.49,12.23,14.98,187.55,211.82,4.41,0.92,EUR,used,1/26/2024,13.16
30005-1,Imperial Speeder Bike,Star Wars,Episode VI,2009,30,1,sw0188,retail,3.99,3.99,5.49,,,5.70201E+12,6.73419E+11,9/5/2015,,TRUE,17.59,8.03,6.71,9.64,19.86,22.57,1.24,3.52,EUR,used,1/26/2024,8.69
30050-1,Republic Attack Shuttle,Star Wars,The Clone Wars,2010,54,,,retaillimited,3.49,,,,,0885733481223,6.73419E+11,5/1/2010,3/1/2011,TRUE,13.11,3.47,2.97,4.15,14.24,17.18,-1.63,3.79,EUR,used,1/26/2024,3.96
30052-1,AAT,Star Wars,Episode I,2011,46,,,retail,3.99,,,,,,6.73419E+11,9/1/2011,,TRUE,16.85,8.03,6.34,10.14,17.62,19.62,0.09,0.97,EUR,used,1/26/2024,3.52
30054-1,AT-ST,Star Wars,Episode VI,2011,46,,,promotional,,,,,,5.70201E+12,6.73419E+11,5/15/2015,,TRUE,8.79,4.09,3.51,4.91,9.08,9.84,4.18,-0.75,EUR,used,1/26/2024,4.05
30055-1,Vulture Droid,Star Wars,Mini Building Set,2011,45,,,retail,3.49,,,,,5.70201E+12,6.73419E+11,9/1/2011,12/3/2011,TRUE,7.29,2.75,2.69,3.3,8.31,9.81,3.1,2.45,EUR,used,1/26/2024,2.66
30277-1,First Order Star Destroyer,Star Wars,The Force Awakens,2016,56,,,promotional,,,,,,,6.73419E+11,7/1/2016,10/1/2016,TRUE,8.8,3.95,3.49,4.74,9.79,11.26,6.93,6.81,EUR,used,1/26/2024,3.07
30380-1,Kylo Ren's Shuttle,Star Wars,The Last Jedi,2018,33,,,promotional,,,,,,5.70202E+12,6.73419E+11,,,TRUE,6.15,1.76,1.72,2.29,7.15,8.31,4.81,0.19,EUR,used,1/26/2024,1.76
30386-1,Poe Dameron's X-wing Fighter,Star Wars,The Rise of Skywalker,2020,72,,,retaillimited,4.97,3.49,4.99,3.99,9.99,5.70202E+12,6.73419E+11,5/1/2021,,TRUE,8.96,3.68,3.52,4.42,10.74,13.37,2.1,3.91,EUR,used,1/26/2024,3.52
30461-1,Podracer,Star Wars,Episode I,2019,58,,,promotional,,,,,,,,,,TRUE,8.71,3.52,3.08,4.22,9.75,11.95,1.52,3.93,EUR,used,1/26/2024,4.02
